track,frame_idx,instance.score,nose.x,nose.y,nose.score,left_ear.x,left_ear.y,left_ear.score,right_ear.x,right_ear.y,right_ear.score,neck.x,neck.y,neck.score,center.x,center.y,center.score,left_flank.x,left_flank.y,left_flank.score,right_flank.x,right_flank.y,right_flank.score,tail_base.x,tail_base.y,tail_base.score,tail_center.x,tail_center.y,tail_center.score,tail_tip.x,tail_tip.y,tail_tip.score
,0,6.849904537,,,0,699.9863892,256.013092,0.795654058,697.9813232,291.9996033,0.824620843,679.9883423,273.9909058,0.816125929,607.991272,290.0043945,0.979946673,617.9959106,325.9885559,0.530609071,596.027771,250.0129089,0.705312192,556.010437,315.9896851,0.934275985,493.9882507,341.9867554,0.606808841,363.9887085,367.996521,0.595891476
,1,6.931063175,,,0,699.9899292,256.0113525,0.796341419,697.9898071,292.0150146,0.82245487,679.9923706,273.9942322,0.810573518,607.9905396,290.0045471,0.982283294,616.0167847,327.9961243,0.531036794,596.0196533,250.0065918,0.691519499,556.0037842,315.9940491,0.940483749,493.9776917,339.9868774,0.644697428,421.9859009,480.0202637,0.652517974
,2,6.833654881,,,0,699.9901123,256.0101318,0.795162499,697.9925537,292.0207825,0.816901803,679.9916382,273.9978333,0.811922848,607.9846191,290.0082397,0.982690752,611.9883423,331.9740295,0.486449182,596.0137939,250.0020142,0.686780274,556.0007935,315.9968872,0.947982073,493.9981384,340.0201111,0.620442927,421.9972229,480.0006104,0.626020551
,3,6.835953712,,,0,699.9902344,256.0097046,0.794949234,697.9962158,292.0250549,0.813158154,679.991272,274.0007629,0.81260246,607.9790649,290.0112,0.982688189,609.9971924,333.9255981,0.480987132,596.0067749,250.000412,0.678064108,555.9976196,315.9997864,0.951592267,493.9979858,340.0219727,0.620622814,421.9967041,480.0169067,0.643692076
,4,6.847547054,,,0,699.9881592,256.0114441,0.792407811,697.9981689,292.0276489,0.808909237,679.9872437,274.0048828,0.813346028,606.032959,290.0177002,0.979894042,608.0234985,333.9464111,0.472654134,596.0032349,250.0140381,0.695081413,555.9957275,316.0050354,0.958282471,493.9782715,341.9867554,0.613172233,421.9833069,481.9770203,0.658075333
,5,6.742022038,,,0,698.0026855,257.9749146,0.7812289,697.9768066,292.0227356,0.774302661,678.0061035,274.0231934,0.819509089,606.0160522,290.0210571,0.985474169,606.0546875,333.984314,0.468327612,595.9986572,249.9983826,0.599530399,555.9759521,316.0097351,0.965575159,493.9718933,341.9837036,0.618553042,421.9839172,481.9769897,0.656274378
,6,6.706557751,,,0,696.0115967,257.9898987,0.7685408,696.0045776,293.9818726,0.735146046,677.9904785,275.9716187,0.816556156,606.0158691,290.021637,0.988782346,605.9828491,334.0238037,0.472191036,627.9740601,327.9687195,0.619837165,555.9834595,316.0162659,0.949115038,493.9713135,341.9798889,0.620948851,421.9845276,481.9750671,0.652856469
,7,6.608066559,,,0,693.9996948,257.9968872,0.776462972,691.9906006,297.9916687,0.681530416,673.9971924,275.9909973,0.816234946,605.9821167,291.9837952,0.98059833,605.8815308,335.9998779,0.47787115,624.067627,329.9649048,0.572224677,555.9594116,316.0214844,0.96045959,491.9930725,341.9825745,0.621607602,421.9949951,480.0266724,0.648681998
,8,7.179320812,,,0,691.9832764,256.0169678,0.869253635,686.0011597,292.019165,0.878260195,668.0073853,274.0270996,0.927608013,605.9651489,291.9693909,0.989360571,605.9944458,249.9814606,0.502220809,624.0560913,329.9496765,0.595906079,554.0189209,317.9772034,0.956845701,491.9986572,341.9906921,0.623562694,421.9974976,480.0236511,0.643292964
,9,7.062629223,722.041748,274.0448608,0.219800815,697.9883423,256.0115967,0.693514526,676.0130615,300.0099487,0.889840186,667.9945068,275.9874878,0.781437755,603.9946899,290.0031128,1.000116706,604.020752,247.9755402,0.476587862,620.0093994,329.9744568,0.686133921,551.9906616,316.0066528,0.997072458,484.0440063,341.9796143,0.671289682,421.9953308,480.0269775,0.646835864
,10,7.934239388,712.0006714,264.0067444,0.466414273,671.9812012,252.0119781,0.901023388,671.9935303,299.991394,1.009979963,655.9776001,275.9891357,0.960423052,600.0211792,289.9802856,0.971683264,594.1199341,244.0792389,0.480639964,569.9978027,252.0338135,0.743123531,548.0332642,316.0136108,1.050673962,484.0057373,341.9729004,0.696943343,421.9859924,481.9767456,0.653334379
,11,7.971187592,711.9898071,264.019989,0.540322244,666.038147,254.0164185,0.91833812,670.0169067,301.982666,1.031756639,652.0083008,277.9766235,1.000845075,598.0206909,289.9729614,0.953632772,593.9848633,242.1016998,0.45460996,613.9737549,330.0093384,0.718512237,547.9594727,318.0062561,1.036995411,483.9911499,343.97995,0.675495267,422.0027771,480.0238647,0.640679896
,12,7.815676689,708.0007324,265.993103,0.504383445,662.0196533,255.9801025,0.960516334,667.9917603,301.993866,0.982209742,648.0049438,279.982605,0.958406389,596.0256958,290.0115051,0.939680994,596.1345215,338.0061951,0.438486814,612.0643311,331.9489746,0.691684186,546.0049438,319.9723511,1.037807822,481.9942322,343.9964905,0.673640907,422.0033875,480.0194397,0.628859937
,13,8.163306236,704.0106812,265.9817505,0.610168695,656.0019531,251.9770355,0.939401925,666.0029907,301.9841919,0.954907596,645.9764404,278.0181885,0.973021448,593.9936523,292.0019226,0.957774043,600.0411377,339.9501648,0.571749747,566.0307617,255.9537201,0.714324594,545.9598999,321.9804993,1.05822289,481.9865417,347.992157,0.712680817,421.9788208,481.9786377,0.671054482
,14,8.16751194,702.0077515,263.9901123,0.622810423,651.9962158,249.9694824,0.9366799,663.9849854,299.9944153,0.95562458,641.9966431,276.0187073,0.969226122,591.9737549,294.0011902,0.970864654,606.0083008,335.9744873,0.735889316,573.9413452,252.0407562,0.567246318,543.9675903,323.9808044,1.035665154,481.9913635,351.9895935,0.702721894,389.9783936,387.9787292,0.670783341
,15,7.517918587,696.0054932,252.0010681,0.763032556,648.0342407,272.021698,0.252448678,639.9795532,247.9792938,0.950986862,636.0257568,276.0159607,0.927251756,586.0299683,295.993927,0.968545914,605.99646,335.9918213,0.790669739,570.0092773,252.047699,0.423341542,539.975647,324.0295105,1.00562036,479.9814758,355.9953308,0.75175339,421.9718933,481.9918213,0.684267461
,16,7.680193901,696.0073853,242.0071869,0.950435579,644.0049438,267.9507446,0.214960948,630.00177,245.9748535,0.968797088,633.9894409,275.9711914,0.929540217,581.991394,298.0361328,0.981661558,603.9696045,339.9946899,0.85309118,573.9577026,267.9840088,0.282664955,536.0070801,329.9732666,1.028556347,479.9936218,361.9826965,0.780575693,421.9707336,481.9960632,0.689910114
,17,7.688822269,685.9784546,228.0077972,0.864673197,616.173584,228.0206909,0.396160901,622.0210571,245.9746704,0.892162383,627.9901123,272.0072632,0.875028849,579.996521,301.9969482,0.966919065,604.0048828,340.0029602,0.885162354,544.0245361,285.9910889,0.244320512,535.9898071,334.0078125,1.038345575,481.9490967,369.9978333,0.809758961,421.9961548,410.0106201,0.716290355
,18,8.140675545,673.9848633,221.9848938,0.805891097,651.975708,275.9777222,0.551669061,612.005127,242.0024261,0.987988234,621.9874878,269.979248,0.866903841,577.9980469,304.0139465,0.91361469,607.9797974,341.9715576,0.879085898,537.9998169,285.9578552,0.629088461,536.0237427,340.0421143,0.992252052,488.0392151,377.9912109,0.826724529,420.0282593,483.9900513,0.68745774
,19,8.103837967,661.9769897,214.0088654,0.687542319,639.9933472,269.9857788,0.952043056,603.9837036,234.0245056,1.02495575,614.0026245,263.9836426,0.93113625,577.9824219,304.0317993,0.920780241,608.0090332,339.9687805,0.841922939,530.0546265,289.965271,0.338616103,536.0175171,344.0179138,1.026648879,484.054657,386.0343018,0.818445325,418.0281982,491.9877319,0.561746716
,20,8.177734375,639.9926758,196.0232391,0.718772531,638.0053101,263.9966736,0.95256412,596.0280762,230.0086975,0.912547231,609.9974365,257.9873047,0.903623521,577.9786987,303.9763184,0.910254061,611.9813843,335.9749146,0.826139688,531.9592285,287.9439087,0.531555772,536.0205078,342.0444336,0.994660079,482.0238647,387.9676819,0.819740593,419.9934692,488.020874,0.607876837
,21,8.305892944,645.9742432,198.0213776,0.64902693,636.0321045,260.0081787,1.037212253,595.9619751,226.0472717,0.76624912,608.0036011,253.9941559,0.926665723,578.0195313,302.0038147,0.916813731,615.9897461,333.9461975,0.818753779,535.9595337,285.967865,0.798115134,537.9898071,343.998291,0.970656633,484.0162659,384.0391846,0.817798615,419.9866028,489.97995,0.604600966
,22,8.55666256,635.982605,192.0087891,0.704601705,634.0296631,256.0147705,1.079218745,584.0178223,226.0217896,0.778881133,603.9932251,253.9802704,0.947141409,579.994873,302.0147705,0.897436202,618.0075684,331.9616394,0.831603765,538.0147095,285.9919739,0.938382804,541.9825439,346.0288696,0.904884279,493.9708557,389.9903564,0.874099314,418.040741,488.0032043,0.60041374
,23,8.519001007,632.0013428,191.9715576,0.5764153,631.9772339,255.9753876,1.009860635,578.0157471,231.9860382,0.992467046,600.0025635,251.9780426,0.95491755,579.9876709,303.9952698,0.871183813,621.9680786,329.9904175,0.840771139,537.9828491,289.9710388,0.966423929,544.0344238,349.9815979,0.92448467,494.0266724,399.9923706,0.744714856,414.0123901,489.9761047,0.637762249
,24,8.39764595,621.9967651,189.9723969,0.430195004,627.9807739,254.0371857,0.938986003,574.0105591,231.994812,1.015515447,594.012207,251.9897461,0.918415844,579.9980469,303.9966736,0.880001307,622.0099487,328.0238342,0.854670525,537.9727783,290.000885,0.976281941,546.0169067,348.0210876,0.930207372,505.9759216,391.9825745,0.772728324,411.9804688,488.0048523,0.680643141
,25,8.171517372,613.9778442,187.9510956,0.36101824,621.9978638,255.9923401,0.926041901,568.0376587,228.0347137,0.818744421,589.99646,248.0176239,0.98951745,579.9858398,304.008667,0.877422988,621.999939,327.9858093,0.836436331,537.9633789,290.0215759,0.997362614,547.9356079,348.0124512,0.912107944,505.9719849,391.9819946,0.777904093,415.9804077,489.9918518,0.674961209
,26,8.337442398,635.9663696,196.0075989,0.500123084,620.0144043,256.0331421,0.993076146,570.0529175,226.0243225,0.857114315,590.0073853,247.9893951,0.96450001,579.9916382,304.0143738,0.871285439,622.0092773,327.989624,0.810662627,536.0071411,291.9686279,0.967085898,547.9384155,348.0142517,0.921443343,505.9870605,391.9824219,0.785569966,415.9885559,490.0052795,0.666581511
,27,7.948289871,637.9749756,197.9884338,0.615485609,623.9857178,256.0149231,0.681240618,573.9785767,226.0155182,0.819741189,592.0015259,248.0050659,0.936788261,579.9951172,305.9901123,0.872939467,619.9976196,327.9847107,0.74076736,536.0067749,291.9832764,0.945657134,546.0288086,347.9755859,0.899076343,505.9933777,390.0159607,0.772444785,416.0039978,489.9918213,0.664149046
,28,7.676685333,645.9990845,200.0288544,0.624033988,633.9581909,260.0243835,0.430281371,575.9638062,227.9999695,0.903846979,597.9987183,249.985733,0.920779884,580.0087891,306.0123596,0.869459987,615.9992676,328.0007324,0.722149849,535.9771118,292.0015259,0.928496778,546.0189209,346.0261841,0.890686214,503.9924927,391.9714355,0.74987787,416.0144958,490.0033569,0.637072742
